Player_Name,Team_x,Type,Base,Final_Price
saranu nishanth,-,BOWL,0.3,TBA
kuldip yadav,-,BOWL,0.3,TBA
prithvi raj,-,BOWL,0.3,TBA
shubham agarwal,-,BOWL,0.3,TBA
jasinder singh,-,BOWL,0.3,TBA
jasmer dhankhar,-,BOWL,0.3,TBA
pulkit narang,-,BOWL,0.3,TBA
saumy pandey,-,BOWL,0.3,TBA
mohit rathee,RCB,BOWL,0.3,0.3
himanshu singh,-,BOWL,0.3,TBA
towhid hridoy,-,BAT,0.75,TBA
mikyle louis,-,BAT,0.75,TBA
harry tector,-,BAT,0.75,TBA
rassie van der dussen,-,BAT,2,TBA
will young,-,BAT,1.25,TBA
najibullah zadran,-,BAT,0.75,TBA
ibrahim zadran,-,BAT,0.75,TBA
sean abbott,-,AR,2,TBA
jacob bethell,RCB,AR,1.25,2.6
brydon carse,SRH,AR,1,1
aaron hardie,PBKS,AR,1.25,1.25
sarfaraz khan,-,AR,0.75,Unsold
kyle mayers,-,AR,1.5,Unsold
kamindu mendis,SRH,AR,0.75,0.75
matthew short,-,AR,0.75,Unsold
jason behrendorff,-,BOWL,1.5,Unsold
dushmantha chameera,DC,BOWL,0.75,0.75
nathan ellis,CSK,BOWL,1.25,2
shamar joseph,LSG,BOWL,0.75,0.75
josh little,-,BOWL,0.75,TBA
shivam mavi,-,BOWL,0.75,Unsold
jhye richardson,-,BOWL,1.5,TBA
navdeep saini,-,BOWL,0.75,Unsold
tanmay agarwal,-,BAT,0.3,TBA
amandeep khare,-,BAT,0.3,TBA
ayush mhatre,-,BAT,0.3,TBA
salman nizar,-,BAT,0.3,Unsold
aniket verma,SRH,BAT,0.3,0.3
sumeet verma,-,BAT,0.3,TBA
manan vohra,-,BAT,0.3,TBA
samarth vyas,-,BAT,0.3,TBA
raj bawa,MI,AR,0.3,0.3
emanjot singh chahal,-,AR,0.3,Unsold
musheer khan,PBKS,AR,0.3,0.3
manvanth kumar,DC,AR,0.3,0.3
mayank rawat,-,AR,0.3,TBA
suryansh shedge,PBKS,AR,0.3,0.3
hrithik shokeen,-,AR,0.3,TBA
sonu yadav,-,AR,0.3,TBA
rithik easwaran,-,BAT,0.3,TBA
anmol malhotra,-,BAT,0.3,TBA
